it	h	LC
694	3.8076	2.0609
695	4.6248	1.7862
696	4.6643	1.7758
697	3.417	1.9104
698	3.5471	1.9687
699	4.3048	1.7892
700	3.6146	1.9725
701	4.7696	1.9191
702	3.7928	1.9697
703	4.6756	1.8274
704	4.8249	1.9395
705	4.3107	1.9409
706	3.7822	1.913
707	4.6951	1.8056
708	4.5449	1.7524
709	4.2361	1.8423
710	4.7447	1.8913
711	4.5433	1.7619
712	4.5573	1.7367
713	4.8639	1.9216
714	3.6255	1.999
715	4.7615	1.8467
716	4.1532	1.8186
717	3.4653	1.863
718	4.94	1.9003
719	4.5946	1.8886
720	4.221	1.9563
721	3.6101	2.0018
722	4.0449	1.8929
723	3.611	1.9466
724	4.9143	1.8502
725	3.4144	1.9293
726	3.8212	1.9903
727	4.5982	1.8848
728	4.4337	1.719
729	4.6068	1.7526
730	4.8262	1.9635
731	3.7397	1.9742
732	3.8342	1.9471
733	4.0707	1.8456
734	4.1515	2.0652
735	3.8546	1.8163
736	4.5652	1.7933
737	3.6711	2.0904
738	3.7261	2.1011
739	3.6387	1.9086
740	3.5632	1.9509
741	4.5706	1.7957
742	3.7643	2.0651
743	3.3576	1.8346
744	3.7525	1.9666
745	4.3556	1.8788
746	4.5422	1.7764
747	4.8344	1.9235
748	4.6886	1.9435
749	4.4329	1.8432
750	4.6894	1.8408
751	4.238	1.9285
752	4.4512	1.7363
753	4.6988	1.878
754	4.8801	1.9635
755	4.6827	1.8775
756	4.6043	1.797
757	4.1334	1.8892
758	4.5117	1.7968
759	4.4456	1.7536
760	4.5104	1.8601
761	4.628	1.808
762	4.7787	2.0006
763	4.3854	1.7317
764	4.7085	1.8387
765	4.8005	1.8687
766	4.4278	1.6846
767	3.6217	1.9013
768	4.4283	1.8322
769	3.679	1.8902
770	4.306	1.8644
771	4.6884	1.8118
772	4.851	1.9593
773	4.7566	1.9191
774	4.4885	1.7766
775	3.8685	1.9106
776	4.5536	1.8864
777	4.3553	2.0073
778	4.5493	1.7802
779	3.8358	1.9546
